oa_code,All people aged 16 to 64 in households,AB Higher and intermediate managerial/administrative/professional,"C1 Supervisory, clerical, junior managerial/administrative/professional",C2 Skilled manual workers,"DE Semi-skilled and unskilled manual workers; on state benefit, unemployed, lowest grade workers"
S00089446,104,18,67,11,8
S00089447,84,25,43,16,0
S00089448,95,28,48,11,8
S00089449,131,33,46,31,21
S00089450,70,8,21,14,27
S00089451,43,11,9,9,14
S00089452,65,3,26,8,28
S00089453,105,17,37,19,32
S00089454,56,10,9,18,19
S00089455,61,9,10,9,33
S00089456,98,21,38,14,25
S00089457,82,16,53,2,11
S00089458,71,11,33,15,12
S00089459,58,12,23,11,12
S00089460,18,1,3,2,12
S00089461,93,7,42,16,28
S00089462,86,13,35,16,22
S00089463,111,24,46,14,27
S00089464,123,22,70,20,11
S00089465,78,28,37,6,7
S00089466,54,22,19,5,8
S00089467,76,21,24,15,16
S00089468,59,11,23,8,17
S00089469,97,11,52,13,21
S00089470,68,18,31,13,6
S00089471,65,17,29,11,8
S00089472,63,5,21,12,25
S00089473,87,25,26,23,13
S00089474,124,13,51,18,42
S00089475,59,5,29,10,15
S00089476,54,9,25,12,8
S00089477,97,11,53,18,15
S00089478,92,4,71,10,7
S00089479,66,18,29,7,12
S00089480,62,4,36,10,12
S00089481,120,31,65,19,5
S00089482,67,12,36,6,13
S00089483,80,13,51,4,12
S00089484,81,11,15,16,39
S00089485,63,16,31,7,9
S00089486,54,8,18,13,15
S00089487,49,7,21,11,10
S00089488,64,15,25,9,15
S00089489,125,24,82,7,12
S00089490,122,16,78,13,15
S00089491,76,22,39,9,6
S00089492,55,6,15,18,16
S00089493,48,3,22,9,14
S00089494,49,6,12,15,16
S00089495,49,5,23,8,13
S00089496,52,4,18,6,24
S00089497,126,28,58,17,23
S00089498,97,9,19,27,42
S00089499,46,0,11,9,26
S00089500,62,7,23,18,14
S00089501,116,6,15,36,59
S00089502,97,10,17,29,41
S00089503,12,2,0,1,9
S00089504,15,1,2,4,8
S00089505,21,0,2,3,16
S00089506,68,7,15,25,21
S00089507,69,5,17,13,34
S00089508,86,7,13,28,38
S00089509,45,9,13,15,8
S00089510,96,5,21,24,46
S00089511,67,5,22,22,18
S00089512,50,5,16,10,19
S00089513,96,9,27,19,41
S00089514,64,3,12,13,36
S00089515,87,25,35,14,13
S00089516,89,22,36,11,20
S00089517,41,7,21,5,8
S00089518,92,9,24,21,38
S00089519,64,8,30,9,17
S00089520,60,19,21,13,7
S00089521,74,7,18,33,16
S00089522,84,34,23,18,9
S00089523,69,7,22,20,20
S00089524,64,12,18,13,21
S00089525,46,3,16,21,6
S00089526,33,4,8,11,10
S00089527,41,7,14,13,7
S00089528,68,4,19,26,19
S00089529,79,16,22,10,31
S00089530,49,5,26,8,10
S00089531,60,11,26,6,17
S00089532,79,7,34,24,14
S00089533,55,10,10,20,15
S00089534,79,5,22,28,24
S00089535,56,12,10,6,28
S00089536,79,5,17,31,26
S00089537,54,1,22,16,15
S00089538,54,4,12,17,21
S00089539,59,9,12,18,20
S00089540,66,4,30,18,14
S00089541,60,7,9,21,23
S00089542,111,22,49,29,11
S00089543,62,0,15,17,30
S00089544,77,9,19,26,23
S00089545,10,2,1,1,6
S00089546,78,6,23,23,26
S00089547,101,11,28,33,29
S00089548,140,25,41,24,50
S00089549,76,2,24,24,26
S00089550,71,3,23,13,32
S00089551,55,3,17,9,26
S00089552,67,21,10,27,9
S00089553,49,9,19,17,4
S00089554,54,7,21,14,12
S00089555,95,10,33,20,32
S00089556,58,10,19,18,11
S00089557,124,11,42,25,46
S00089558,92,16,41,16,19
S00089559,103,23,22,25,33
S00089560,55,15,21,8,11
S00089561,59,8,19,11,21
S00089562,69,12,21,16,20
S00089563,55,14,18,11,12
S00089564,70,11,28,19,12
S00089565,108,25,42,12,29
S00089566,107,33,43,15,16
S00089567,120,9,12,44,55
S00089568,133,10,49,23,51
S00089569,64,8,13,19,24
S00089570,83,6,26,27,24
S00089571,114,20,49,23,22
S00089572,49,12,23,6,8
S00089573,74,14,36,11,13
S00089574,74,7,31,18,18
S00089575,48,13,19,9,7
S00089576,93,27,43,14,9
S00089577,68,5,19,14,30
S00089578,78,6,29,11,32
S00089579,65,1,23,11,30
S00089580,81,5,20,25,31
S00089581,62,6,13,24,19
S00089582,89,4,10,36,39
S00089583,99,12,23,25,39
S00089584,48,5,13,11,19
S00089585,95,12,31,17,35
S00089586,88,2,15,26,45
S00089587,54,5,17,16,16
S00089588,55,7,23,15,10
S00089589,56,16,13,9,18
S00089590,76,17,31,14,14
S00089591,87,2,33,27,25
S00089592,65,5,12,24,24
S00089593,79,4,19,30,26
S00089594,58,1,10,23,24
S00089595,106,7,20,38,41
S00089596,77,14,23,38,2
S00089597,83,3,7,21,52
S00089598,49,6,10,10,23
S00089599,98,8,26,22,42
S00089600,40,0,12,10,18
S00089601,54,6,19,14,15
S00089602,90,4,20,33,33
S00089603,68,8,23,12,25
S00089604,62,3,28,18,13
S00089605,109,6,34,24,45
S00089606,91,15,23,25,28
S00089607,101,42,18,18,23
S00089608,35,0,10,4,21
S00089609,75,6,8,27,34
S00089610,96,1,17,32,46
S00089611,65,3,16,22,24
S00089612,73,0,13,18,42
S00089613,44,7,22,6,9
S00089614,129,4,29,40,56
S00089615,88,0,21,19,48
S00089616,92,3,9,35,45
S00089617,112,3,23,30,56
S00089618,90,3,13,30,44
S00089619,102,2,20,35,45
S00089620,110,3,14,43,50
S00089621,10,0,0,2,8
S00089622,52,7,19,10,16
S00089623,65,5,13,28,19
S00089624,62,13,35,2,12
S00089625,78,26,31,10,11
S00089626,142,21,100,18,3
S00089627,68,8,34,7,19
S00089628,107,15,54,13,25
S00089629,122,11,39,21,51
S00089630,63,5,13,23,22
S00089631,84,1,33,13,37
S00089632,85,4,27,23,31
S00089633,145,14,74,29,28
S00089634,82,23,42,13,4
S00089635,60,9,32,7,12
S00089636,88,20,56,5,7
S00089637,54,8,29,9,8
S00089638,92,16,58,12,6
S00089639,84,21,28,14,21
S00089640,108,19,66,17,6
S00089641,55,9,33,1,12
S00089642,57,16,22,14,5
S00089643,104,5,60,15,24
S00089644,130,15,34,32,49
S00089645,112,7,37,28,40
S00089646,93,12,54,9,18
S00089647,135,24,83,15,13
S00089648,60,13,36,5,6
S00089649,78,11,28,11,28
S00089650,112,18,79,9,6
S00089651,94,54,25,11,4
S00089652,130,11,89,17,13
S00089653,105,23,72,7,3
S00089654,92,8,62,9,13
S00089655,75,14,54,2,5
S00089656,79,22,44,5,8
S00089657,56,17,26,6,7
S00089658,116,10,78,18,10
S00089659,85,7,55,14,9
S00089660,101,5,71,14,11
S00089661,120,22,48,23,27
S00089662,84,18,40,17,9
S00089663,114,19,61,18,16
S00089664,52,4,24,11,13
S00089665,94,14,60,13,7
S00089666,87,29,46,11,1
S00089667,58,12,25,10,11
S00089668,65,9,21,13,22
S00089669,128,27,64,17,20
S00089670,70,3,57,3,7
S00089671,72,14,43,6,9
S00089672,91,5,19,23,44
S00089673,42,5,13,8,16
S00089674,128,24,55,25,24
S00089675,125,43,56,12,14
S00089676,64,10,26,5,23
S00089677,113,32,44,12,25
S00089678,59,7,32,13,7
S00089679,121,12,57,18,34
S00089680,112,22,54,15,21
S00089681,129,22,79,8,20
S00089682,57,11,28,9,9
S00089683,69,13,39,11,6
S00089684,66,25,23,10,8
S00089685,108,23,46,14,25
S00089686,56,13,24,16,3
S00089687,70,16,19,18,17
S00089688,77,7,42,17,11
S00089689,45,4,18,11,12
S00089690,109,36,55,10,8
S00089691,83,22,34,11,16
S00089692,41,17,19,5,0
S00089693,51,6,30,13,2
S00089694,99,44,40,7,8
S00089695,90,34,41,9,6
S00089696,117,45,44,21,7
S00089697,64,32,19,7,6
S00089698,78,30,34,10,4
S00089699,65,18,35,5,7
S00089700,94,37,41,10,6
S00089701,66,27,20,12,7
S00089702,64,13,28,9,14
S00089703,93,65,11,15,2
S00089704,76,49,22,3,2
S00089705,76,37,23,14,2
S00089706,83,51,18,12,2
S00089707,63,7,20,14,22
S00089708,37,4,19,10,4
S00089709,55,36,15,2,2
S00089710,73,12,22,22,17
S00089711,81,17,28,16,20
S00089712,73,46,14,8,5
S00089713,68,38,18,12,0
S00089714,108,61,36,9,2
S00089715,65,44,9,7,5
S00089716,26,11,7,1,7
S00089717,71,44,18,5,4
S00089718,111,68,32,8,3
S00089719,119,64,40,13,2
S00089720,120,60,42,17,1
S00089721,111,78,26,2,5
S00089722,71,37,24,7,3
S00089723,44,14,25,5,0
