oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S00089368,56,52,4,0,0
S00089369,113,86,20,3,4
S00089370,106,86,17,1,2
S00089371,123,107,13,3,0
S00089372,61,57,4,0,0
S00089373,96,86,10,0,0
S00089374,95,79,14,2,0
S00089375,136,122,14,0,0
S00089376,130,123,7,0,0
S00089377,78,69,9,0,0
S00089378,97,93,3,1,0
S00089379,166,161,5,0,0
S00089380,153,144,9,0,0
S00089381,104,99,5,0,0
S00089382,122,110,8,3,1
S00089383,104,100,4,0,0
S00089384,102,98,4,0,0
S00089385,185,161,18,4,2
S00089386,203,174,20,9,0
S00089387,155,140,9,3,3
S00089388,154,143,8,2,1
S00089389,96,94,2,0,0
S00089390,93,85,6,2,0
S00089391,100,84,11,3,2
S00089392,79,70,8,1,0
S00089393,82,66,14,2,0
S00089394,65,57,8,0,0
S00089395,107,92,14,1,0
S00089396,72,54,13,3,2
S00089397,98,81,14,3,0
S00089398,94,83,9,2,0
S00089399,51,44,6,0,1
S00089400,94,90,3,1,0
S00089401,72,55,15,2,0
S00089402,82,69,11,2,0
S00089403,96,93,3,0,0
S00089404,93,85,8,0,0
S00089405,106,104,2,0,0
S00089406,144,140,4,0,0
S00089407,122,107,13,2,0
S00089408,100,95,4,1,0
S00089409,114,102,11,1,0
S00089410,120,111,7,1,1
S00089411,96,94,1,1,0
S00089412,186,178,7,1,0
S00089413,186,174,10,1,1
S00089414,61,55,5,1,0
S00089415,95,86,9,0,0
S00089416,146,130,15,1,0
S00089417,128,119,7,2,0
S00089418,146,129,17,0,0
S00089419,114,107,7,0,0
S00089420,136,134,2,0,0
S00089421,159,148,10,1,0
S00089422,87,86,1,0,0
S00089423,154,143,10,1,0
S00089424,139,118,18,3,0
S00089425,173,164,8,1,0
S00089426,178,158,20,0,0
S00089427,77,72,5,0,0
S00089428,80,73,7,0,0
S00089429,130,122,8,0,0
S00089430,120,115,5,0,0
S00089431,136,106,26,4,0
S00089432,58,48,10,0,0
S00089433,73,67,5,1,0
S00089434,78,77,1,0,0
S00089435,118,112,6,0,0
S00089436,116,112,4,0,0
S00089437,140,133,4,3,0
S00089438,152,148,3,1,0
S00089439,112,110,2,0,0
S00089440,59,54,5,0,0
S00089441,77,70,7,0,0
S00089442,105,97,8,0,0
S00089443,60,56,4,0,0
S00089444,130,119,11,0,0
S00089445,139,132,6,1,0
S00089446,107,100,5,2,0
S00089447,86,76,8,2,0
S00089448,103,87,13,3,0
S00089449,140,117,16,6,1
S00089450,86,69,8,7,2
S00089451,90,73,9,5,3
S00089452,98,80,17,1,0
S00089453,109,87,15,6,1
S00089454,76,62,11,2,1
S00089455,92,74,16,2,0
S00089456,123,100,21,2,0
S00089457,84,80,3,1,0
S00089458,75,59,14,2,0
S00089459,60,55,5,0,0
S00089460,84,68,14,2,0
S00089461,104,86,15,2,1
S00089462,87,75,10,2,0
S00089463,131,111,18,2,0
S00089464,131,114,15,2,0
S00089465,82,77,4,1,0
S00089466,96,86,8,2,0
